"","State","Year","Counts"
"1","OR",1953,8
"2","NV",1965,16
"3","CA",1964,112
"4","MT",1964,8
"5","OK",1963,8
"6","AZ",1957,16
"7","NE",1962,136
"8","NM",1962,56
"9","CA",1962,16
"10","NV",1962,1432
"11","OR",1962,5544
"12","NV",1961,800
"13","OR",1960,8
"14","NV",1960,104
"15","WY",1952,8
"16","WY",1951,40
"17","CA",1972,16
"18","NV",1959,376
"19","WY",1959,8
"20","NE",1959,8
"21","OK",1962,8
"22","NV",1956,8
"23","CO",1955,344
"24","NE",1953,8
"25","WY",1956,192
"26","OR",1959,32
"27","NE",1956,112
"28","CA",1955,16
"29","ID",1955,24
"30","NV",1952,8
"31","MT",1950,8
"32","CA",1954,32
"33","WY",1953,80
"34","CO",1954,112
"35","NV",1951,40
"36","WY",1950,24
"37","CO",1953,144
"38","OR",1949,40
"39","CA",1943,8
"40","NE",1942,24
"41","CA",1946,24
"42","FL",1937,8
"43","NE",1941,72
"44","OR",1948,160
"45","NV",1948,160
"46","ID",1932,8
"47","CA",1956,88
"48","NV",1938,8
"49","ID",1947,8
"50","NV",1947,32
"51","CA",1936,24
"52","OK",1935,280
"53","AZ",1935,56
"54","NE",1934,56
"55","CA",1932,16
"56","CO",1937,216
"57","UT",1929,8
"58","WY",1927,24
"59","NV",1929,288
"60","NV",1930,40
"61","NE",1929,8
"62","NV",1931,8
"63","SD",1928,8
"64","OK",1929,8
"65","TX",1932,64
"66","TX",1928,8
"67","TX",1929,8
"68","OR",1916,16
"69","SD",1933,8
"70","NV",1925,192
"71","NE",1936,576
"72","SD",1920,8
"73","OR",1961,64
"74","CA",1937,312
"75","SD",1934,112
"76","NV",1935,16
"77","NV",1916,24
"78","NV",1928,80
"79","NV",1927,96
"80","NE",1932,16
"81","NV",1933,8
"82","CA",1927,8
"83","NV",1932,8
"84","OR",2005,8
"85","OR",1996,8
"86","CA",1939,72
"87","OR",1966,32
"88","OR",1925,16
"89","OR",1899,16
"90","OR",1976,8
"91","ID",1916,16
"92","OR",1935,48
"93","OR",1905,32
"94","NV",1910,88
"95","CA",1986,80
"96","CA",2007,12952
"97","CA",1907,32
"98","WY",1982,8
"99","WY",1987,240
"100","WY",1990,1760
"101","WY",1993,4944
"102","WY",1992,21400
"103","WY",1991,3248
"104","CA",2011,144
"105","CA",2009,144
"106","WA",2006,658
"107","CA",1978,423
"108","CO",1996,18
"109","SD",1937,8
"110","CA",1998,117
"111","CO",1985,10692
"112","CO",2004,3380
"113","MD",1919,9
"114","OR",1963,12976
"115","CO",2005,7367
"116","CO",2002,990
"117","ID",1974,18
"118","CA",1994,18
"119","CA",1995,108
"120","CA",1979,33
"121","CA",1961,120
"122","TX",1935,8
"123","NV",1994,9
"124","CA",1993,18
"125","CA",1991,207
"126","CO",1986,1818
"127","CO",1987,2178
"128","CO",1991,18
"129","CO",1988,3042
"130","CO",1993,3015
"131","CA",1950,120
"132","MT",1987,99
"133","FL",1959,18
"134","CA",1974,32
"135","CA",1980,18
"136","WY",1988,7296
"137","UT",1974,9
"138","NE",1933,298
"139","CA",1918,17
"140","CA",1967,18
"141","CA",1971,9
"142","CA",1970,10044
"143","CA",1969,261
"144","CA",1938,12447
"145","CA",1965,81
"146","NV",1963,135
"147","CA",1963,170
"148","CA",1960,112
"149","CA",1959,555
"150","TX",1954,18
"151","TX",1953,26
"152","CA",1953,69
"153","CA",1951,50
"154","TX",1925,9
"155","CA",1949,18
"156","CA",1948,242
"157","CA",1944,162
"158","NV",1939,33
"159","CA",1924,2421
"160","FL",1928,36
"161","OR",1924,45
"162","FL",1918,27
"163","CA",1925,36
"164","CA",1911,17
"165","CA",1913,36
"166","CA",1904,178
"167","CA",1923,328
"168","CA",1905,18
"169","CA",1912,72
"170","NM",1961,9
"171","WA",1986,9
"172","CA",1988,18
"173","AZ",1980,9
"174","CA",2008,801
"175","ID",1986,9
"176","CA",1958,138
"177","CA",1957,386
"178","CA",1818,9
"179","CA",1968,1179
"180","CA",1935,49
"181","CA",1934,79
"182","SD",1936,321
"183","CA",1941,42
"184","CA",1940,167
"185","CA",1947,36
"186","CA",1966,5193
"187","CO",1999,9884
"188","CA",1952,210
